,date,Delhi,Uttar Pradesh,Maharashtra,Rajasthan,Bengal
334,2017-04-24,0,0,1,1,0
335,2017-04-25,19,5,25,4,6
336,2017-04-26,1,5,2,5,0
337,2017-04-27,7,2,9,5,0
338,2017-04-28,6,5,11,2,1
339,2017-04-29,9,1,9,1,6
340,2017-04-30,1,2,3,2,2
341,2017-05-01,2,2,2,0,1
342,2017-05-02,19,5,0,6,1
343,2017-05-03,4,5,9,5,4
344,2017-05-04,9,14,4,2,1
345,2017-05-05,17,7,3,4,0
346,2017-05-06,5,4,4,3,4
347,2017-05-07,0,2,2,1,6
348,2017-05-08,0,0,0,0,1
349,2017-05-09,7,7,9,1,7
350,2017-05-10,2,1,11,4,1
351,2017-05-11,1,3,3,0,3
352,2017-05-12,7,11,8,3,3
353,2017-05-13,2,4,5,15,2
354,2017-05-14,0,0,3,1,1
355,2017-05-15,1,1,0,0,0
356,2017-05-16,8,4,9,8,6
357,2017-05-17,3,4,8,8,1
358,2017-05-18,4,3,7,5,2
359,2017-05-19,1,6,3,5,3
360,2017-05-20,4,7,7,7,3
361,2017-05-21,5,12,1,0,0
362,2017-05-22,0,1,1,0,0
363,2017-05-23,25,6,4,16,9
364,2017-05-24,1,12,12,7,4
365,2017-05-25,5,5,1,4,3
366,2017-05-26,10,8,6,0,0
367,2017-05-27,3,9,7,2,4
368,2017-05-28,6,1,2,2,0
369,2017-05-29,1,0,0,1,0
370,2017-05-30,10,5,8,2,16
371,2017-05-31,4,6,7,10,2
372,2017-06-01,2,3,5,9,8
373,2017-06-02,2,9,3,7,6
374,2017-06-03,10,5,4,5,8
375,2017-06-04,2,2,2,3,0
376,2017-06-05,0,1,0,0,0
377,2017-06-06,10,4,3,3,4
378,2017-06-07,10,2,11,1,1
379,2017-06-08,5,10,2,3,12
380,2017-06-09,11,4,9,10,2
381,2017-06-10,11,4,5,0,5
382,2017-06-11,1,1,0,0,0
384,2017-06-13,14,5,8,6,12
385,2017-06-14,12,4,1,5,2
386,2017-06-15,5,1,2,2,1
387,2017-06-16,12,7,4,9,2
388,2017-06-17,10,2,2,3,0
389,2017-06-18,4,3,1,0,0
390,2017-06-19,0,2,0,1,1
391,2017-06-20,11,2,13,5,14
392,2017-06-21,14,5,5,0,2
393,2017-06-22,4,0,1,6,1
394,2017-06-23,11,5,3,10,5
395,2017-06-24,7,1,10,1,2
396,2017-06-25,5,4,0,3,3
397,2017-06-26,3,1,1,8,0
398,2017-06-27,2,1,1,12,1
399,2017-06-28,18,6,11,18,4
400,2017-06-29,38,4,14,1,10
401,2017-06-30,9,7,4,4,2
402,2017-07-01,9,5,5,0,3
403,2017-07-02,1,5,1,0,0
404,2017-07-03,1,1,1,0,1
405,2017-07-04,6,8,1,9,5
406,2017-07-05,6,5,3,5,16
407,2017-07-06,21,6,5,2,1
408,2017-07-07,8,2,8,15,2
409,2017-07-08,1,1,13,1,23
410,2017-07-09,2,3,0,1,3
411,2017-07-10,0,0,2,1,0
412,2017-07-11,11,6,3,17,7
413,2017-07-12,13,21,2,3,5
414,2017-07-13,12,11,5,3,2
415,2017-07-14,12,6,2,1,11
416,2017-07-15,8,3,3,8,4
417,2017-07-16,3,3,1,11,1
418,2017-07-17,0,0,1,1,0
419,2017-07-18,2,10,6,12,7
420,2017-07-19,1,2,3,4,0
421,2017-07-20,2,6,3,9,2
422,2017-07-21,6,2,3,10,9
423,2017-07-22,12,1,3,4,11
424,2017-07-23,2,1,2,1,0
425,2017-07-24,1,0,1,10,0
426,2017-07-25,4,7,3,1,6
427,2017-07-26,5,1,9,4,5
428,2017-07-27,4,8,11,3,3
429,2017-07-28,41,7,4,13,6
430,2017-07-29,3,6,8,7,2
431,2017-07-30,0,2,0,1,7
433,2017-08-01,74,8,3,6,3
434,2017-08-02,8,11,1,12,7
435,2017-08-03,4,4,9,8,2
436,2017-08-04,13,1,2,1,2
437,2017-08-05,14,3,4,6,7
438,2017-08-06,6,3,4,2,0
439,2017-08-07,0,0,0,1,1
440,2017-08-08,3,4,3,1,6
441,2017-08-09,13,14,8,4,5
442,2017-08-10,6,6,4,2,10
443,2017-08-11,11,13,9,22,4
444,2017-08-12,16,13,6,4,6
445,2017-08-13,5,9,0,1,1
446,2017-08-14,0,0,1,4,0
447,2017-08-15,12,5,6,7,4
448,2017-08-16,1,1,0,0,1
449,2017-08-17,2,5,12,2,2
450,2017-08-18,10,9,1,3,6
451,2017-08-19,6,9,21,1,2
452,2017-08-20,7,3,16,0,1
453,2017-08-21,3,1,0,0,0
454,2017-08-22,8,2,36,6,5
455,2017-08-23,8,5,19,1,17
456,2017-08-24,13,10,8,0,7
457,2017-08-25,10,0,9,8,6
458,2017-08-26,5,7,0,2,8
459,2017-08-27,4,2,1,2,0
460,2017-08-28,0,0,1,1,0
461,2017-08-29,3,14,17,10,24
462,2017-08-30,10,8,10,3,9
463,2017-08-31,7,8,4,3,3
464,2017-09-01,5,7,13,3,10
465,2017-09-02,8,27,4,4,2
466,2017-09-03,0,1,0,0,0
467,2017-09-04,0,0,14,0,0
468,2017-09-05,5,5,18,2,6
469,2017-09-06,3,7,11,3,6
470,2017-09-07,4,8,7,4,5
471,2017-09-08,3,8,13,4,2
472,2017-09-09,8,3,12,0,1
473,2017-09-10,8,1,0,5,1
474,2017-09-11,0,8,1,0,1
475,2017-09-12,5,6,3,6,4
476,2017-09-13,3,9,4,3,5
477,2017-09-14,4,8,10,8,6
478,2017-09-15,15,8,4,2,7
479,2017-09-16,12,3,10,2,9
480,2017-09-17,1,1,2,1,2
481,2017-09-18,0,0,1,0,0
482,2017-09-19,2,1,6,10,2
483,2017-09-20,5,6,22,1,2
484,2017-09-21,3,10,17,2,6
485,2017-09-22,7,7,2,6,3
486,2017-09-23,1,20,5,4,6
487,2017-09-24,0,12,2,0,0
488,2017-09-25,0,1,1,0,0
489,2017-09-26,9,30,8,8,6
490,2017-09-27,10,28,8,6,0
491,2017-09-28,3,10,6,5,0
492,2017-09-29,4,4,10,2,0
493,2017-09-30,5,5,1,3,4
494,2017-10-01,0,2,0,1,0
495,2017-10-02,1,0,18,10,0
496,2017-10-03,0,1,1,0,1
497,2017-10-04,2,8,6,8,1
498,2017-10-05,14,12,2,3,0
499,2017-10-06,5,13,5,1,2
500,2017-10-07,12,1,2,4,3
501,2017-10-08,3,15,0,2,0
502,2017-10-09,0,1,2,0,0
503,2017-10-10,6,6,13,4,12
504,2017-10-11,3,7,0,1,10
505,2017-10-12,2,4,12,4,4
506,2017-10-13,6,6,5,14,1
507,2017-10-14,6,8,8,12,5
508,2017-10-15,8,9,0,0,1
509,2017-10-16,1,0,0,0,0
510,2017-10-17,1,2,5,11,3
511,2017-10-18,14,2,4,4,4
512,2017-10-19,6,6,4,2,2
513,2017-10-20,5,1,0,0,0
514,2017-10-21,3,5,3,1,8
515,2017-10-22,1,2,2,1,1
516,2017-10-23,0,1,1,7,0
517,2017-10-24,10,2,20,6,4
518,2017-10-25,10,2,6,8,1
519,2017-10-26,7,5,1,5,5
520,2017-10-27,4,8,7,13,3
521,2017-10-28,8,1,1,4,9
522,2017-10-29,0,4,2,1,4
523,2017-10-30,2,0,0,0,0
524,2017-10-31,8,9,9,7,7
525,2017-11-01,4,12,9,15,4
526,2017-11-02,9,1,8,15,2
527,2017-11-03,3,4,9,25,0
528,2017-11-04,5,3,11,7,3
530,2017-11-06,11,0,21,1,0
531,2017-11-07,6,5,22,6,5
532,2017-11-08,0,7,11,21,6
533,2017-11-09,8,11,5,13,3
534,2017-11-10,1,3,1,2,4
535,2017-11-11,20,9,20,7,8
536,2017-11-12,0,1,3,2,0
537,2017-11-13,0,0,0,0,2
538,2017-11-14,9,6,11,5,24
539,2017-11-15,10,5,3,7,4
540,2017-11-16,2,8,9,12,9
541,2017-11-17,10,2,1,1,3
542,2017-11-18,6,9,7,0,10
543,2017-11-19,3,6,1,4,0
544,2017-11-20,0,1,1,0,0
545,2017-11-21,8,3,6,6,7
546,2017-11-22,9,1,17,1,6
547,2017-11-23,8,9,9,2,4
548,2017-11-24,5,5,3,3,3
549,2017-11-25,2,1,4,3,8
550,2017-11-26,1,4,1,0,1
551,2017-11-27,1,0,1,0,0
552,2017-11-28,17,5,10,5,18
553,2017-11-29,5,1,1,2,6
554,2017-11-30,10,5,13,15,6
555,2017-12-01,8,7,9,19,8
556,2017-12-02,6,1,0,4,8
557,2017-12-03,1,1,3,3,0
558,2017-12-04,0,2,1,0,0
559,2017-12-05,9,7,24,14,1
560,2017-12-06,4,6,2,8,5
561,2017-12-07,13,5,12,13,6
562,2017-12-08,2,4,10,2,0
563,2017-12-09,15,3,4,2,10
564,2017-12-10,0,1,0,2,0
565,2017-12-11,0,1,0,1,0
566,2017-12-12,19,18,7,4,7
567,2017-12-13,1,8,3,2,9
568,2017-12-14,13,5,11,2,0
569,2017-12-15,7,2,7,18,1
570,2017-12-16,10,6,2,5,12
571,2017-12-17,1,6,4,4,4
572,2017-12-18,5,0,0,4,0
573,2017-12-19,7,11,10,42,4
574,2017-12-20,8,3,11,7,1
575,2017-12-21,3,5,16,5,1
576,2017-12-22,10,11,6,9,4
577,2017-12-23,9,3,12,9,5
578,2017-12-24,3,1,2,0,0
579,2017-12-25,0,1,1,12,0
580,2017-12-26,2,2,16,6,2
581,2017-12-27,7,17,11,4,18
582,2017-12-28,3,19,1,5,8
583,2017-12-29,7,18,11,1,3
584,2017-12-30,1,9,5,9,4
585,2017-12-31,4,70,1,12,2
586,2018-01-01,1,1,0,0,0
1015,2019-03-06,9,16,25,21,6
1016,2019-03-07,22,14,6,4,7
1017,2019-03-08,6,19,14,33,14
1018,2019-03-09,11,9,7,3,11
1019,2019-03-10,6,31,2,3,3
1021,2019-03-12,1,20,9,10,11
1022,2019-03-13,11,19,3,9,10
1023,2019-03-14,5,13,12,6,6
1024,2019-03-15,5,13,10,5,5
1025,2019-03-16,13,10,10,3,11
1026,2019-03-17,3,7,2,0,6
1027,2019-03-18,0,0,1,0,1
1028,2019-03-19,12,16,3,3,11
1029,2019-03-20,11,27,3,10,8
1030,2019-03-21,15,5,3,1,21
1031,2019-03-22,10,6,0,1,3
1032,2019-03-23,14,2,8,8,3
1033,2019-03-24,5,9,1,2,9
1035,2019-03-26,13,15,9,15,8
1036,2019-03-27,10,8,2,5,22
1037,2019-03-28,6,3,7,10,4
1038,2019-03-29,4,7,4,2,4
1039,2019-03-30,10,5,13,2,5
1040,2019-03-31,2,8,0,2,0
1041,2019-04-01,1,0,1,0,0
1042,2019-04-02,5,7,5,2,2
1043,2019-04-03,4,2,9,0,1
1044,2019-04-04,4,3,7,1,4
1045,2019-04-05,1,4,10,4,3
1046,2019-04-06,11,3,9,4,5
1047,2019-04-07,1,6,0,1,0
1049,2019-04-09,5,5,5,5,10
1050,2019-04-10,16,8,10,4,4
1051,2019-04-11,8,5,2,1,5
1052,2019-04-12,1,3,0,1,22
1053,2019-04-13,12,2,6,7,2
1054,2019-04-14,1,2,1,0,1
1056,2019-04-16,11,6,6,2,0
1057,2019-04-17,8,9,2,2,12
1058,2019-04-18,5,1,0,1,2
1059,2019-04-19,5,1,5,6,0
1060,2019-04-20,3,1,1,1,5
1061,2019-04-21,1,6,3,0,1
1063,2019-04-23,5,4,8,53,7
1064,2019-04-24,3,1,2,5,2
1065,2019-04-25,2,2,12,1,1
1066,2019-04-26,4,6,4,0,1
1067,2019-04-27,5,2,4,2,0
1068,2019-04-28,0,0,0,1,0
1069,2019-04-29,0,0,2,0,0
1070,2019-04-30,7,14,2,1,2
1071,2019-05-01,3,3,9,3,9
1072,2019-05-02,4,3,3,1,0
1073,2019-05-03,1,2,8,1,7
1074,2019-05-04,2,5,7,4,7
1075,2019-05-05,1,1,0,0,3
1077,2019-05-07,4,5,3,2,8
1078,2019-05-08,1,5,1,1,1
1079,2019-05-09,2,6,3,7,6
1080,2019-05-10,5,10,3,5,5
1081,2019-05-11,12,4,5,5,1
1082,2019-05-12,0,3,2,0,0
1084,2019-05-14,5,6,10,2,8
1085,2019-05-15,3,5,2,1,1
1086,2019-05-16,3,12,4,7,7
1087,2019-05-17,8,6,4,8,8
1088,2019-05-18,6,4,9,4,12
1089,2019-05-19,1,2,0,0,0
1091,2019-05-21,8,6,5,1,6
1092,2019-05-22,2,4,12,0,9
1093,2019-05-23,8,6,2,3,35
1094,2019-05-24,4,9,6,2,3
1095,2019-05-25,2,7,7,2,4
1096,2019-05-26,1,0,1,1,1
1098,2019-05-28,3,8,17,4,8
1099,2019-05-29,14,5,10,1,8
1100,2019-05-30,6,22,2,1,7
1101,2019-05-31,13,4,3,9,5
1102,2019-06-01,5,10,3,10,20
1103,2019-06-02,1,7,1,0,6
1105,2019-06-04,3,9,16,11,8
1106,2019-06-05,4,10,19,4,2
1107,2019-06-06,5,0,8,0,1
1108,2019-06-07,17,3,13,2,4
1109,2019-06-08,14,6,7,4,9
1110,2019-06-09,2,4,0,0,2
1112,2019-06-11,10,10,11,4,5
1113,2019-06-12,4,3,1,1,5
1114,2019-06-13,2,10,4,4,1
1115,2019-06-14,4,7,7,3,5
1116,2019-06-15,5,11,4,13,16
1117,2019-06-16,3,6,4,5,3
1118,2019-06-17,0,0,0,1,0
1119,2019-06-18,9,11,13,7,11
1120,2019-06-19,14,5,10,6,11
1121,2019-06-20,16,10,11,5,8
1122,2019-06-21,3,6,13,6,18
1123,2019-06-22,18,9,7,0,14
1124,2019-06-23,0,2,2,2,8
1125,2019-06-24,0,0,0,1,0
1126,2019-06-25,17,12,8,22,17
1127,2019-06-26,5,5,8,15,11
1128,2019-06-27,8,5,6,3,7
1129,2019-06-28,6,7,6,2,9
1130,2019-06-29,7,14,13,11,6
1131,2019-06-30,1,6,1,4,4
1132,2019-07-01,0,0,0,3,0
1133,2019-07-02,5,15,9,5,9
1134,2019-07-03,4,17,12,0,6
1135,2019-07-04,5,26,8,4,23
1136,2019-07-05,8,23,10,6,23
1137,2019-07-06,8,30,11,8,4
1138,2019-07-07,3,4,0,1,2
1140,2019-07-09,1,22,6,8,13
1141,2019-07-10,5,13,9,6,11
1142,2019-07-11,12,6,4,5,9
1143,2019-07-12,4,8,11,3,8
1144,2019-07-13,3,19,6,2,13
1145,2019-07-14,7,2,2,0,0
1147,2019-07-16,13,15,16,24,14
1148,2019-07-17,7,11,9,3,8
1149,2019-07-18,11,13,5,1,26
1150,2019-07-19,3,6,7,3,4
1151,2019-07-20,4,8,14,4,11
1152,2019-07-21,3,3,1,1,16
1154,2019-07-23,11,10,14,9,15
1155,2019-07-24,9,7,12,5,7
1156,2019-07-25,14,12,9,6,6
1157,2019-07-26,11,7,9,3,11
1158,2019-07-27,1,16,7,3,18
1159,2019-07-28,5,2,3,1,0
1160,2019-07-29,0,0,1,2,0
1161,2019-07-30,5,4,9,5,14
1162,2019-07-31,12,10,15,19,6
